Part number ,Marking Code ,Output Voltage ,Temperature Range ,Package 
MIC5301-2.85YML(4) ,2JC ,2.85V ,–40°C to +125°C ,MLF-6
,,,,
MIC5301YML(4) ,CAA ,ADJ. ,–40°C to +125°C ,MLF-6
,,,,
,,,,
,,,,
"MIC5301-1.3YMT(3,4) ",13C ,1.3V ,–40°C to +125°C ,MLF-6
,,,,
,,,,
,,,,
"MIC5301-1.5YMT(3,4) ",15C ,1.5V ,–40°C to +125°C ,MLF-6
,,,,
"MIC5301-1.8YMT(3,4) ",18C ,1.8V ,–40°C to +125°C ,MLF-6
,,,,
,,,,
"MIC5301-2.1YMT(3,4) ",21C ,2.1V ,–40°C to +125°C ,MLF-6
,,,,
"MIC5301-2.5YMT(3,4) ",25C ,2.5V ,–40°C to +125°C ,MLF-6
,,,,
,,,,
"MIC5301-2.6YMT(3,4) ",26C ,2.6V ,–40°C to +125°C ,MLF-6
,,,,
"MIC5301-2.8YMT(3,4) ",28C ,2.8V ,–40°C to +125°C ,MLF-6
,,,,
"MIC5301-2.85YMT(3,4) ",2JC ,2.85V ,–40°C to +125°C ,MLF-6
,,,,
"MIC5301-2.9YMT(3,4) ",29C ,2.9V ,–40°C to +125°C ,MLF-6
,,,,
"MIC5301-3.0YMT(3,4) ",30C ,3.0V ,–40°C to +125°C ,MLF-6
,,,,
"MIC5301-3.3YMT(3,4) ",33C ,3.3V ,–40°C to +125°C ,MLF-6
,,,,
"MIC5301-4.6YMT(3,4) ",46C ,4.6V ,–40°C to +125°C ,MLF-6
,,,,
"MIC5301YMT(3,4) ",CAA ,ADJ. ,–40°C to +125°C ,MLF-6
,,,,
MIC5301-1.3YD5 ,QC13 ,1.3V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-1.5YD5 ,QC15 ,1.5V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-1.8YD5 ,QC18 ,1.8V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-2.1YD5 ,QC21 ,2.1V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-2.5YD5 ,QC25 ,2.5V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-2.6YD5 ,QC26 ,2.6V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-2.8YD5 ,QC28 ,2.8V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-2.85YD5 ,QC2J ,2.85V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-2.9YD5 ,QC29 ,2.9V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-3.0YD5 ,QC30 ,3.0V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-3.3YD5 ,QC33 ,3.3V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301-4.6YD5 ,QC46 ,4.6V ,–40°C to +125°C ,TSOT-23 
,,,,
MIC5301YD5 ,QCAA ,ADJ. ,–40°C to +125°C ,TSOT-23 
